City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sandakan,5.8402,118.1179,82.08,83,40,9.22,MY,1706574722
83,ribeira grande,38.5167,-28.7,62.78,90,100,11.99,PT,1706574722
84,pacifica,37.6138,-122.4869,71.28,60,0,4.61,US,1706574722
85,qaisumah,28.3112,46.1273,53.56,54,0,13.8,SA,1706574722
86,geraldton,-28.7667,114.6,75.61,53,0,9.22,AU,1706574722
87,enewetak,11.3474,162.3373,79.32,54,1,11.03,MH,1706574723
88,ushuaia,-54.8,-68.3,51.46,50,40,14.97,AR,1706574723
89,tadine,-21.55,167.8833,82.94,63,28,9.06,NC,1706574723
90,ghadamis,30.1337,9.5007,51.93,57,0,9.8,LY,1706574723
91,jamestown,42.097,-79.2353,32.56,97,100,8.05,US,1706574723
92,sao tome,0.3365,6.7273,80.64,89,75,4.61,ST,1706574724
93,horta,38.5333,-28.6333,62.02,90,100,11.99,PT,1706574724
94,punta arenas,-53.15,-70.9167,57.31,44,40,11.5,CL,1706574668
95,iqaluit,63.7506,-68.5145,-18.31,68,100,2.3,CA,1706574724
96,knysna,-34.0363,23.0471,66.43,79,16,2.82,ZA,1706574724
97,dudinka,69.4058,86.1778,4.68,83,100,18.01,RU,1706574551
98,suntar,62.1444,117.6319,-40.63,100,60,3.13,RU,1706574724
99,vadso,70.0744,29.7487,33.96,69,20,40.29,NO,1706574725
100,laguna,38.421,-121.4238,71.17,64,0,5.75,US,1706574725
101,haiku-pauwela,20.9219,-156.3051,81.18,68,75,26.46,US,1706574725
102,kashin,57.3592,37.6081,34.45,85,100,14.25,RU,1706574725
103,whitehorse,60.7161,-135.0538,38.17,87,100,13.8,CA,1706574726
104,taltal,-25.4,-70.4833,70.83,77,19,4.85,CL,1706574726
105,chonchi,-42.6128,-73.8092,61.81,74,100,1.1,CL,1706574726
106,karasu,41.071,30.7854,36.95,89,48,4.92,TR,1706574726
107,coquimbo,-29.9533,-71.3436,65.93,82,75,6.91,CL,1706574726
108,san pedro pochutla,15.7333,-96.4667,83.91,54,0,5.66,MX,1706574531
109,inarajan village,13.2736,144.7484,83.37,80,98,21.32,GU,1706574727
110,dakoro,14.5106,6.765,64.63,19,59,12.93,NE,1706574727
111,cestos city,5.46,-9.5828,80.8,83,13,7.54,LR,1706574727
112,thompson,55.7435,-97.8558,24.96,93,100,4.61,CA,1706574727
113,rehoboth,-23.3167,17.0833,70.07,60,100,1.14,NA,1706574728
114,farasan,16.7022,42.1183,78.67,77,71,10.0,SA,1706574728
115,okhotsk,59.3833,143.3,-10.19,81,44,8.12,RU,1706574728
116,yellowknife,62.456,-114.3525,32.41,100,75,4.61,CA,1706574728
117,lae,-6.7221,146.9847,90.91,55,70,1.86,PG,1706574728
118,kayangel,8.0823,134.7173,80.58,84,100,23.73,PW,1706574729
119,ribeira brava,32.65,-17.0667,66.7,76,100,1.32,PT,1706574729
120,el granada,37.5027,-122.4694,71.49,59,0,5.75,US,1706574729
121,port mathurin,-19.6833,63.4167,79.81,87,100,23.8,MU,1706574729
122,happy valley-goose bay,53.3168,-60.3315,-12.69,53,0,5.75,CA,1706574729
123,lagunas,-5.2269,-75.6753,81.79,71,100,3.31,PE,1706574730
124,hithadhoo,-0.6,73.0833,82.51,73,13,6.49,MV,1706574730
125,esquel,-42.9,-71.3167,63.41,38,100,5.68,AR,1706574730
126,jacmel,18.2342,-72.5347,80.44,76,1,4.7,HT,1706574730
127,montrose,38.4166,-108.2673,42.21,69,0,2.71,US,1706574661
128,chibougamau,49.9168,-74.3659,2.82,66,0,8.05,CA,1706574730
129,attnang-puchheim,48.0112,13.715,34.05,73,62,1.41,AT,1706574731
130,port elizabeth,-33.918,25.5701,71.1,86,97,3.0,ZA,1706574731
131,mount gambier,-37.8333,140.7667,71.1,44,0,8.05,AU,1706574731
132,viedma,-40.8135,-62.9967,68.76,80,0,9.44,AR,1706574731
133,avarua,-21.2078,-159.775,86.05,79,40,9.22,CK,1706574732
134,sinabang,2.4803,96.3801,80.44,82,94,2.59,ID,1706574732
135,bilibino,68.0546,166.4372,-22.56,98,100,3.58,RU,1706574732
136,hasaki,35.7333,140.8333,46.29,58,52,9.42,JP,1706574732
137,ust-nera,64.5667,143.2,-26.77,98,100,3.18,RU,1706574732
138,college,64.8569,-147.8028,-9.8,64,100,0.0,US,1706574732
139,karratha,-20.7377,116.8463,85.84,53,35,12.33,AU,1706574733
140,kerikeri,-35.2268,173.9474,79.92,70,95,1.01,NZ,1706574733
141,torata,-17.0769,-70.8433,62.69,75,19,2.44,PE,1706574733
142,vorgashor,67.5833,63.95,2.61,92,100,13.73,RU,1706574733
143,howard springs,-12.497,131.047,73.31,78,48,8.7,AU,1706574733
